TITLE,ARTIST,ID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Days,The Kinks,47COMIg91E1U83OQolIiBt,0.548,0.768,-7.891,0.027,0.051,0.00666,0.0564,0.869,100.863
Days Go By,Dirty Vegas,2RLpFEf6d0708O7Bqhjyxg,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99
Desert Rose,Sting,4WhyHQ2BXi2VU1iaFbF6jv,0.577,0.654,-7.9,0.0321,0.0143,0.0,0.114,0.13,111.993
Dig In,Lenny Kravitz,0mBmE1IzBpbhfwEU4nd4ew,0.671,0.921,-3.878,0.0291,0.0129,0.0235,0.0579,0.825,118.424
Do That to Me One More Time,Captain & Tennille,0m4jVVZrsv0bLkAr1uM6UG,0.728,0.524,-8.227,0.0255,0.563,0.000131,0.0913,0.51,90.262
Do What U Want,Lady Gaga,5XKXMWPACPq51OiqzxenZo,0.778,0.801,-4.65,0.086,0.345,1.18e-06,0.0881,0.534,97.47
Do You Love Me,The Contours,5MbNAHqNksNDycMZ0WUaO5,0.62,0.81,-6.594,0.039,0.432,0.0,0.0843,0.793,150.737
Do You Realize??,The Flaming Lips,2DFRFqWNahKtFD112H2iEZ,0.464,0.797,-5.244,0.0333,0.006,0.000304,0.392,0.547,129.964
Domani,MIKA,4NGIKS6qfDRcAVTlYBgSZ2,0.661,0.833,-4.868,0.0335,0.0714,0.0,0.1,0.636,124.068
Dominos,The Big Pink,0VpkfoJpz3V7we5dNoJRrE,0.441,0.896,-4.923,0.127,0.000605,2.11e-05,0.21,0.51,176.111
Don't,Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,0.806,0.608,-7.008,0.0659,0.0113,0.0,0.635,0.849,95.049
Don't Bring Me Down,Electric Light Orchestra,72ahyckBJfTigJCFCviVN7,0.638,0.867,-6.469,0.0331,0.144,0.000733,0.0846,0.805,115.692
Don't Cha,The Pussycat Dolls,1gZ7i4qxXkHZb1r6eioaAP,0.877,0.637,-3.493,0.101,0.00516,2.5e-06,0.0959,0.569,119.988
